Data,Custo Mensal (R$),Plano
2022-08-17,1588,Intermediário
2023-12-08,1789,Intermediário
2024-04-08,1349,Intermediário
2022-06-03,1674,Intermediário
2021-11-08,1464,Intermediário
2022-01-15,1250,Intermediário
2024-02-29,1156,Intermediário
2023-07-31,1617,Intermediário
2023-12-10,1522,Intermediário
2021-07-28,1887,Intermediário
2023-05-24,1545,Intermediário
2024-03-15,1644,Intermediário
2023-08-09,1322,Intermediário
2022-05-29,1525,Intermediário
2021-02-13,1578,Intermediário
2020-05-01,1679,Intermediário
2023-02-17,1274,Intermediário
2023-10-22,1641,Intermediário
2021-05-10,1062,Intermediário
2020-11-14,1611,Intermediário
2021-12-13,1710,Intermediário
2023-08-05,1741,Intermediário
2023-02-27,1559,Intermediário
2020-05-03,1391,Intermediário
2024-02-23,1902,Intermediário
2020-09-30,1866,Intermediário
2024-02-27,1569,Intermediário
2021-10-13,1463,Intermediário
2023-07-11,1597,Intermediário
2020-10-05,1052,Intermediário
2022-01-05,1183,Intermediário
2022-03-11,1501,Intermediário
2020-05-17,953,Intermediário
2023-10-21,1382,Intermediário
